Time,Value
4070,78.5
4075,106.5
4080,106.5
4085,106.5
4090,77.8
4095,77.8
4100,64.6
4105,64.6
4110,95.4
4115,124.9
4120,124.9
4125,120.6
4130,120.6
4135,120.6
4140,104.6
4145,104.6
4150,90.9
4155,90.9
4160,90.9
4165,84
4170,91.3
4175,91.3
4180,91.3
4185,79.2
4190,96.5
4195,96.5
4200,74.1
4205,76.9
4210,76.9
4215,67.7
4220,88.3
4225,88.3
4230,86.7
4235,86.7
4240,86.7
4245,68.4
4250,101.9
4255,101.9
4260,68
4265,74.9
4270,74.9
4275,76.1
4280,76.1
4285,64.9
4290,69.4
4295,97.2
4300,97.2
4305,97.2
4310,79.1
4315,79.1
4320,81.7
4325,81.7
4330,109.9
4335,109.9
4340,109.9
4345,109.9
4350,109.9
4355,93.5
4360,93.5
4365,68.1
4370,68.1
4375,104.7
4380,104.7
4385,80.9
4390,80.9
4395,80.9
4400,75.6
4405,86.4
4410,86.4
4415,86.4
4420,97.9
4425,106.4
4430,106.4
4435,77.1
4440,77.1
4445,79.4
4450,82.2
4455,82.2
4460,87.4
4465,87.4
4470,87.4
4475,86
4480,86
4485,69.2
4490,76.6
4495,115.5
4500,115.5
4505,116.1
4510,116.1
4515,75.3
4520,94.9
4525,94.9
4530,94.9
4535,74.7
4540,74.7
4545,73.8
4550,73.8
4555,78.3
4560,78.3
4565,81.9
4570,81.9
4575,69.7
4580,69.8
4585,93.3
4590,93.3
4595,93.3
4600,88.2
4605,88.2
4610,93.2
4615,93.2
4620,93
4625,93
4630,99.7
4635,99.7
4640,80
4645,80
4650,96.9
4655,96.9
4660,89.4
4665,89.4
4670,89.4
4675,84.1
4680,84.1
4685,65.9
4690,96.5
4695,104.1
4700,104.1
4705,104.1
4710,68.4
4715,86.4
4720,132.9
4725,132.9
4730,132.9
4735,104.8
4740,104.8
4745,104.8
4750,73.2
4755,73.2
4760,83.6
4765,83.6
4770,83.6
4775,98.6
4780,98.6
4785,98.6
4790,74.9
4795,88.1
4800,88.1
4805,124
4810,124
4815,124
4820,79.6
4825,96.2
4830,115.3
4835,115.3
4840,71.8
4845,71.8
4850,82.8
4855,102.9
4860,102.9
4865,87.5
4870,87.5
4875,87.5
4880,86
4885,86
4890,87.6
4895,87.6
4900,81.7
4905,81.7
4910,81.7
4915,80.1
4920,80.1
4925,66.5
4930,80.6
4935,80.6
4940,83.4
4945,83.4
4950,76.7
4955,76.7
4960,76.7
4965,72.5
4970,72.5
4975,68.8
4980,88.6
4985,88.6
4990,71.4
4995,96.5
5000,96.5
5005,96.5
5010,81.2
5015,96.6
5020,96.6
5025,61.3
5030,61.3
5035,92.2
5040,92.2
5045,92.2
5050,61.4
5055,61.4
5060,98
5065,98
5070,98
5075,65.3
5080,71.8
5085,71.8
5090,72.5
5095,90.5
5100,90.5
5105,92.9
5110,92.9
5115,97.4
5120,97.4
5125,77.5
5130,77.5
5135,88.1
5140,88.1
5145,82.2
5150,82.2
5155,108.2
5160,108.2
5165,95.9
5170,95.9
5175,122.4
5180,122.4
5185,122.4
5190,93.2
5195,93.2
5200,79.6
5205,79.6
5210,72.3
5215,72.3
5220,71.7
5225,75.4
5230,75.4
5235,80
5240,80
5245,85.4
5250,85.4
5255,79.3
5260,79.3
5265,79.3
5270,64.7
5275,73.5
5280,88.2
5285,88.2
5290,88.2
5295,79.7
5300,96.2
5305,96.2
5310,90
5315,111.2
5320,111.2
5325,99
5330,99
5335,99
5340,74.5
5345,74.5
5350,70.3
5355,90.9
5360,91.1
5365,91.1
5370,70.7
5375,79.2
5380,79.2
5385,94.9
5390,94.9
5395,70.7
5400,80.3
5405,80.3
5410,92.7
5415,117.6
5420,117.6
5425,117.6
5430,97.5
5435,97.5
5440,70.5
5445,76.8
5450,76.8
5455,72.9
5460,72.9
5465,79
5470,89.3
5475,101.6
5480,101.6
5485,101.6
5490,96.6
5495,96.6
5500,114.5
5505,114.5
5510,114.5
5515,69
5520,80.8
5525,97.1
5530,97.1
5535,97.1
5540,79.8
5545,85.7
5550,92.8
5555,92.8
5560,92.8
5565,77.2
5570,92.6
5575,92.6
5580,85.8
5585,85.8
5590,85.8
5595,83.5
5600,83.5
5605,79.6
5610,79.6
5615,92.1
5620,92.1
5625,88.8
5630,88.8
5635,98.9
5640,98.9
5645,79.7
5650,79.7
5655,79.7
5660,76.5
5665,80.3
5670,80.3
5675,91.4
5680,91.4
5685,105.5
5690,105.5
5695,84.5
5700,107.9
5705,107.9
5710,107.9
5715,94
5720,94
5725,75.3
5730,75.3
5735,74.2
5740,74.7
5745,74.7
5750,74.7
5755,79.5
5760,109.8
5765,109.8
5770,109.8
5775,77.2
5780,77.2
5785,92.1
5790,92.1
5795,82.1
5800,98.5
5805,98.5
5810,94.3
5815,94.3
5820,110.3
5825,110.3
5830,77.7
5835,84.2
5840,85.8
5845,94.7
5850,94.7
5855,94.7
5860,81.4
5865,81.4
5870,73.9
5875,73.9
5880,73.9
5885,87.7
5890,103.1
5895,103.1
5900,103.1
5905,89.2
5910,89.2
5915,79.6
5920,79.6
5925,79.6
5930,71.4
5935,71.4
5940,98.8
5945,98.8
5950,76.1
5955,76.1
5960,143.7
5965,143.7
5970,143.7
5975,83.8
5980,83.8
5985,119.5
5990,119.5
5995,119.5
6000,106.5
6005,106.5
6010,88.7
6015,88.7
6020,78.7
6025,78.7
6030,73.2
6035,75.7
6040,97.3
6045,97.3
6050,78
6055,98.4
6060,98.4
6065,87.7
6070,87.7
6075,108.2
6080,108.2
6085,93.1
6090,93.1
6095,71
6100,94.9
6105,94.9
6110,94.9
6115,76.1
6120,92.6
6125,92.6
6130,81.6
6135,95.2
6140,116.9
6145,116.9
6150,116.9
6155,104.8
6160,104.8
6165,103.7
6170,103.7
6175,64.9
6180,67.3
6185,134.7
6190,134.7
6195,134.7
6200,91.4
6205,91.4
6210,94.5
6215,94.5
6220,94.5
6225,94.3
6230,94.3
6235,88.5
6240,88.5
6245,88.5
6250,88
6255,88
6260,88
6265,75.2
6270,75.8
6275,93.8
6280,93.8
6285,87.7
6290,87.7
6295,87.7
6300,94.5
6305,94.5
6310,86.1
6315,86.1
6320,82.9
6325,82.9
6330,82.9
6335,67.3
6340,83.5
6345,83.5
6350,83.5
6355,91.5
6360,91.5
6365,91.5
6370,102.9
6375,102.9
6380,80.1
6385,98.2
6390,98.2
6395,83.2
6400,83.2
6405,83.2
6410,79.5
6415,79.5
6420,77.1
6425,77.1
6430,68.2
6435,108.2
6440,108.2
6445,108.2
6450,72.8
6455,72.8
6460,83.9
6465,83.9
6470,65
6475,65
6480,65
6485,66
6490,86.8
6495,86.8
6500,86.8
6505,73.8
6510,110.8
6515,110.8
6520,110.8
6525,73.3
6530,85.1
6535,85.1
6540,85.1
6545,82.3
6550,82.3
6555,62
6560,84.4
6565,84.4
6570,84.4
6575,78.4
6580,78.4
6585,77.5
6590,80.5
6595,80.5
6600,65.5
6605,69.1
6610,86.8
6615,86.8
6620,85.5
6625,85.5
6630,85.5
6635,67.9
6640,67.9
6645,78
6650,78
6655,95.6
6660,95.6
6665,99.5
6670,99.5
6675,85.9
6680,85.9
6685,73.4
6690,73.4
6695,78.4
6700,78.4
6705,78.4
6710,102.4
6715,102.4
6720,95.7
6725,95.7
6730,71.1
6735,71.1
6740,78.4
6745,101
6750,101
6755,116.1
6760,116.1
6765,73.8
6770,73.8
6775,73.8
6780,67.8
6785,76.1
6790,92.2
6795,92.2
6800,75
6805,75
6810,82.3
6815,82.3
6820,83.8
6825,83.8
6830,91.1
6835,91.1
6840,77.8
6845,77.8
6850,80.1
6855,80.1
6860,77.9
6865,77.9
6870,68.7
6875,91
6880,116.3
6885,116.3
6890,78.6
6895,86
6900,86
6905,78.6
6910,78.6
6915,78.6
6920,75.3
6925,75.3
6930,75.3
6935,72.4
6940,72.4
6945,96.3
6950,96.3
6955,96.3
6960,83.2
6965,83.2
6970,83.2
6975,81.2
6980,81.2
6985,66.8
6990,88.7
6995,88.7
7000,88.7
7005,85.7
7010,85.7
7015,73.7
7020,73.7
7025,73.7
7030,70.6
7035,70.6
7040,103
7045,103
7050,74.8
7055,94.9
7060,94.9
7065,84.2
7070,104.3
7075,104.3
7080,90.6
7085,90.6
7090,90.6
7095,86.1
7100,86.1
7105,86.1
7110,96.9
7115,96.9
7120,96.9
7125,94.8
7130,94.8
